no_threads,wall_time,elapsed_time,comparisons,program,parallel_speedup,parallel_efficiency
1,10,10.568818359,3996002000,searching_OMP_0,1.0986576741677163,1.0986576741677163
2,5,5.364495752,3996002000,searching_OMP_0,2.164511621184708,1.082255810592354
4,2,2.954831714,3996002000,searching_OMP_0,3.9296699510786417,0.9824174877696604
8,3,3.205804771,3996002000,searching_OMP_0,3.6220276113002265,0.4527534514125283
16,2,2.969689574,3996002000,searching_OMP_0,3.910009146632778,0.24437557166454862
32,2,2.975560893,3996002000,searching_OMP_0,3.902293992475858,0.12194668726487057
64,2,2.96775769,3996002000,searching_OMP_0,3.9125543962452,0.06113366244133125
