no_threads,wall_time,elapsed_time,comparisons,scheduling,parallel_speedup,parallel_efficiency
1,10,10.657931183,3996002000,static,1.0893642729199822,1.0893642729199822
2,5,5.408348104,3996002000,static,2.146749660106568,1.073374830053284
4,2,2.974829779,3996002000,static,3.902868505606687,0.9757171264016717
8,3,3.12963048,3996002000,static,3.709821184384682,0.46372764804808525
16,2,2.969794023,3996002000,static,3.9094864371339604,0.24434290232087252
32,2,2.981859227,3996002000,static,3.893667866299981,0.1216771208218744
64,2,2.965723152,3996002000,static,3.914852755615539,0.061169574306492794
1,10,10.581604453,3996002000,dynamic,1.0972220238971733,1.0972220238971733
2,5,5.376289602,3996002000,dynamic,2.1595506033902825,1.0797753016951412
4,2,2.95337916,3996002000,dynamic,3.9312153384328754,0.9828038346082189
8,3,3.110771611,3996002000,dynamic,3.7323117560108146,0.4665389695013518
16,2,2.978641751,3996002000,dynamic,3.897873737283823,0.24361710858023894
32,2,2.970649349,3996002000,dynamic,3.9083607959008564,0.12213627487190176
64,2,2.967318942,3996002000,dynamic,3.912747392828122,0.061136678012939406
1,10,10.663383527,3996002000,guided,1.0888072650301102,1.0888072650301102
2,5,5.402286515,3996002000,guided,2.149158402051173,1.0745792010255866
4,2,2.970006449,3996002000,guided,3.909206816001766,0.9773017040004415
8,3,3.117096099,3996002000,guided,3.7247390151765742,0.4655923768970718
16,2,2.98994341,3996002000,guided,3.8831402009712286,0.2426962625607018
32,2,2.993656669,3996002000,guided,3.8783236482085717,0.12119761400651786
64,2,2.969307467,3996002000,guided,3.9101270525313367,0.06109573519580214
1,10,10.650634191,3996002000,auto,1.0901106211882665,1.0901106211882665
2,5,5.392466224,3996002000,auto,2.1530722626182186,1.0765361313091093
4,2,2.961473053,3996002000,auto,3.9204710784852783,0.9801177696213196
8,3,3.119064278,3996002000,auto,3.722388645816808,0.465298580727101
16,2,2.972719063,3996002000,auto,3.905639654452608,0.244102478403288
32,2,2.985621614,3996002000,auto,3.8887611878067014,0.12152378711895942
64,2,2.973640122,3996002000,auto,3.904429916755072,0.061006717449298
