100,1
50,2
25,4
20,5
10,10
10000,1
5000,2
2500,4
2000,5
1250,8
1000,10
625,16
500,20
400,25
250,40
200,50
125,80
1000000,1
500000,2
250000,4
200000,5
125000,8
100000,10
62500,16
50000,20
40000,25
31250,32
25000,40
20000,50
100000000,1
50000000,2
25000000,4
20000000,5
12500000,8
10000000,10
6250000,16
5000000,20
4000000,25
3125000,32
2500000,40
2000000,50
10000000000,1
5000000000,2
2500000000,4
2000000000,5
1250000000,8
1000000000,10
625000000,16
500000000,20
400000000,25
312500000,32
250000000,40
200000000,50
